Month,AUD,BGN,CAD,CHF,CZK,DKK,EGP,EUR,GBP,100 HUF,100 JPY,MDL,NOK,PLN,RUB,SEK,TRY,USD,ZAR,BRL,CNY,INR,100 KRW,MXN,NZD,RSD,UAH,AED,THB,HKD,ILS,100 IDR,PHP,100 ISK,MYR,SGD,XAU,XDR,11/2024,10/2024,9/2024,8/2024,7/2024,6/2024,5/2024,4/2024,3/2024,2/2024,1/2024,12/2023,11/2023
3.0587,2.5442,3.3512,5.3189,0.1966,0.6672,0.0948,4.9760,5.9666,1.2148,3.0489,0.2589,0.4237,1.1475,0.0464,0.4296,0.1359,4.6834,0.2612,0.8084,0.6496,0.0555,0.3357,0.2304,2.7693,0.0425,0.1131,1.2751,0.1360,0.6020,1.2596,0.0295,0.0797,3.3926,1.0560,3.5031,399.8943,6.1744,,,,,,,,,,,,,,
3.0613,2.5435,3.3180,5.3004,0.1967,0.6669,0.0939,4.9748,5.9564,1.2382,3.0507,0.2571,0.4219,1.1526,0.0473,0.4362,0.1332,4.5615,0.2598,0.8134,0.6437,0.0543,0.3352,0.2318,2.7766,0.0425,0.1106,1.2419,0.1366,0.5870,1.2129,0.0294,0.0794,3.3356,1.0611,3.4828,394.5996,6.0963,,,,,,,,,,,,,,
3.0326,2.5433,3.3081,5.2854,0.1982,0.6668,0.0924,4.9743,5.9186,1.2597,3.1275,0.2568,0.4222,1.1630,0.0490,0.4380,0.1315,4.4780,0.2542,0.8072,0.6327,0.0534,0.3364,0.2287,2.7871,0.0425,0.1085,1.2192,0.1344,0.5734,1.1933,0.0295,0.0796,3.2944,1.0757,3.4690,369.8389,6.0431,,,,,,,,,,,,,,
3.0072,2.5444,3.3076,5.2699,0.1977,0.6670,0.0923,4.9765,5.8465,1.2603,3.0919,0.2575,0.4221,1.1593,0.0506,0.4345,0.1342,4.5199,0.2505,0.8130,0.6321,0.0539,0.3344,0.2361,2.7495,0.0425,0.1096,1.2306,0.1301,-,-,-,-,-,-,-,359.1759,6.0569,,,,,,,,,,,,,,
3.0598,2.5426,3.3447,5.1392,0.1966,0.6666,0.0952,4.9729,5.8956,1.2660,2.9063,0.2578,0.4246,1.1612,0.0524,0.4312,0.1393,4.5854,0.2513,0.8275,0.6314,0.0549,0.3316,0.2533,2.7658,0.0425,0.1118,1.2484,0.1264,-,-,-,-,-,-,-,352.4580,6.0717,,,,,,,,,,,,,,
3.0701,2.5445,3.3720,5.1727,0.2009,0.6672,0.0969,4.9766,5.8790,1.2609,2.9313,0.2598,0.4357,1.1516,0.0527,0.4409,0.1420,4.6235,0.2509,0.8599,0.6373,0.0554,0.3351,0.2540,2.8365,0.0425,0.1142,1.2588,0.1259,-,-,-,-,-,-,-,345.7435,6.1035,,,,,,,,,,,,,,
3.0485,2.5440,3.3647,5.0583,0.2007,0.6669,0.0975,4.9758,5.8158,1.2855,2.9464,0.2595,0.4292,1.1637,0.0507,0.4282,0.1428,4.6001,0.2499,0.8948,0.6359,0.0552,0.3370,0.2743,2.7939,0.0425,0.1155,1.2524,0.1256,-,-,-,-,-,-,-,348.3943,6.0850,,,,,,,,,,,,,,
3.0187,2.5426,3.3926,5.0959,0.1967,0.6667,0.0969,4.9730,5.8064,1.2668,3.0155,0.2605,0.4256,1.1558,0.0498,0.4292,0.1434,4.6340,0.2457,0.9055,0.6402,0.0556,0.3386,0.2764,2.7637,0.0425,0.1177,1.2618,0.1261,-,-,-,-,-,-,-,347.6038,6.1168,,,,,,,,,,,,,,
2.9980,2.5415,3.3775,5.1472,0.1965,0.6666,0.1029,4.9709,5.8127,1.2583,3.0541,0.2583,0.4312,1.1542,0.0498,0.4393,0.1427,4.5735,0.2425,0.9185,0.6350,0.0551,0.3433,0.2725,2.7814,0.0424,0.1180,1.2453,0.1272,-,-,-,-,-,-,-,317.9785,6.0810,,,,,,,,,,,,,,
3.0087,2.5436,3.4164,5.2587,0.1972,0.6673,0.1492,4.9748,5.8216,1.2824,3.0837,0.2583,0.4368,1.1496,0.0502,0.4421,0.1497,4.6097,0.2426,0.9291,0.6408,0.0555,0.3461,0.2699,2.8233,0.0425,0.1212,1.2551,0.1286,-,-,-,-,-,-,-,300.1986,6.1146,,,,,,,,,,,,,,
3.0297,2.5436,3.4007,5.3128,0.2013,0.6671,0.1477,4.9748,5.7955,1.3026,3.1199,0.2577,0.4385,1.1396,0.0512,0.4408,0.1516,4.5640,0.2426,0.9290,0.6362,0.0549,0.3438,0.2674,2.8165,0.0424,0.1206,1.2426,0.1296,-,-,-,-,-,-,-,298.3549,6.0859,,,,,,,,,,,,,,
3.0471,2.5413,3.3926,5.2663,0.2031,0.6667,0.1475,4.9704,5.7679,1.3012,3.1657,0.2575,0.4316,1.1476,0.0501,0.4440,0.1567,4.5580,0.2445,0.9298,0.6381,0.0547,0.3491,0.2650,2.8323,0.0424,0.1226,1.2411,0.1302,-,-,-,-,-,-,-,297.8991,6.0868,,,,,,,,,,,,,,
2.9867,2.5412,3.3535,5.1581,0.2029,0.6664,0.1489,4.9702,5.7085,1.3110,3.0701,0.2570,0.4211,1.1282,0.0509,0.4302,0.1607,4.6035,0.2485,0.9386,0.6367,0.0553,0.3518,0.2647,2.7542,0.0424,0.1273,1.2534,0.1297,-,-,-,-,-,-,-,293.2341,6.0938,,,,,,,,,,,,,,
